14th Finance,,,,
State Special Grant,,,,
ULB,,,,
Smart City,,,,
O&M Costs (Rs.Cr),,,,
Users/stakeholders/beneficiaries,,,,
Debt,,,,
SFC,,,,
Convergence,,,,
FAME,,,,
JICA-NRCP,,,,
AMRUT/ PMC,,,,
SBM,,,,
MSEDCL/ IPDS/ NSGM,,,,
AMRUT,,,,
"Krishna Circuit, Swadesh Darshan, Ministry of Tourism",,,,
IPDS,,,,
GEF,,,,
SmartRaj,,,,
MNRE (Solar),,,,
PMAY,,,,
SBM (Smart Waste Collection),,,,
NEMP,,,,
JNSM,,,,
"Ministry of Culture, GoI under Tagore Cultural Complex Scheme",,,,
National Fisheries Development Board,,,,
Ministry of Labour,,,,
Housing for All,,,,
MNRE,,,,
BEE / EESL,,,,
Swach Bharat Mission,,,,
0,,,,
PMAY & Vajapeyi Housing,,,,
Swach Bharat Abhiyan,,,,
FAME India,,,,
HRIDAY,,,,
"Swadesh Darshan, MOT",,,,
"LRGS -40%, MOT",,,,
-,,,,
"FAME,  DHI",,,,
"EESL/  RISHTA
scheme",,,,
20% from SBM,,,,
"70% subsidy, MNRE",,,,
IPHD,,,,
IPHD/  DUD,,,,
"Rs. 10 Cr from Workers Welfare Board,  Rs. 44 Cr from PMAY,  Rs. 2 crore from
NULM",,,,
"100%  under
NULM",,,,
Rs. 3.30 Cr under NULM  and Rs. 6.90 Cr under PMKVY,,,,
RMSA,,,,
MNRE/ SOLAR City,,,,
MNREGA,,,,
DoNER/ MEA,,,,
AYUSH (NAM),,,,
VGF,,,,
"SBM, SSA, SAP",,,,
"AYUSH (NAM), AMRUT",,,,
"IPDS, MNRE",,,,
CGD,,,,
Startup India AIM,,,,
Digital India,,,,
"IPDS, Smart Grid",,,,
NRCP,,,,
"SOLAR CITY, MEDA",,,,
Solar City,,,,
NULM,,,,
"Namami Gange,
AMRUT",,,,
"Namami Gange (52.5), AMRUT (110.25)",,,,
"AMRUT, UIDSMT",,,,
"IPDS, DELP",,,,
"AMRUT, SBM, NRCP, UIDSSMT, RUIDP",,,,
"MNRE, IPDS",,,,
SDS,,,,
HFA,,,,
"NULM, MUDRA",,,,
NSM,,,,
DMA,,,,
National River Conservation Plan,,,,
MNRE/IPDS,,,,
Nirbhaya Fund,,,,
Others,,,,
Solar City Program,,,,
Other central/state schemes,,,,
